"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SNHG6",2.91774342024407e-05,-0.461516044243952,0.691,0.68,0.65404136508191,"27: GZMK+ CD8 T cell"
"DHRS3",2.94591811713081e-05,-4.2610389788312,0,0.034,0.660357005136042,"27: GZMK+ CD8 T cell"
"EIF4B",2.99112829795559e-05,-0.558330585387328,0.489,0.536,0.670491319269725,"27: GZMK+ CD8 T cell"
"SERPINF1",3.03844138358513e-05,-4.10143235708057,0,0.033,0.681097020544443,"27: GZMK+ CD8 T cell"
"AC078883.1",3.0456318225855e-05,-1.62496530362529,0.033,0.103,0.682708829350766,"27: GZMK+ CD8 T cell"
"THEMIS",3.1273369609042e-05,0.373997096987058,0.787,0.6,0.701023853156286,"27: GZMK+ CD8 T cell"
"HMGN3",3.30003694163587e-05,-0.929741174072887,0.257,0.345,0.739736280837097,"27: GZMK+ CD8 T cell"
"TNFSF10",3.46354907645858e-05,0.652490010475349,0.518,0.307,0.776389160978956,"27: GZMK+ CD8 T cell"
"HLA-A",3.51940219089061e-05,0.100138727017337,1,1,0.788909195110038,"27: GZMK+ CD8 T cell"
"CLASP1",3.73609341719032e-05,0.356886409563488,0.603,0.401,0.837482700397383,"27: GZMK+ CD8 T cell"
"RPL30",3.79384294300875e-05,-0.255426738161864,0.996,0.999,0.850427834104841,"27: GZMK+ CD8 T cell"
"PLAC8",3.81488604251145e-05,-1.12675771420521,0.14,0.198,0.855144855289367,"27: GZMK+ CD8 T cell"
"SPINT2",3.83882391347142e-05,-3.63391008255009,0.007,0.059,0.860510768443753,"27: GZMK+ CD8 T cell"
"UBB",4.01004260349826e-05,0.219473092377942,0.985,0.907,0.898891150000169,"27: GZMK+ CD8 T cell"
"ENSG00000258657",4.03796313176862e-05,1.45542891424228,0.077,0.016,0.905149815617254,"27: GZMK+ CD8 T cell"
"RPL5",4.18988000046245e-05,-0.258067290093028,0.978,0.976,0.939203500903664,"27: GZMK+ CD8 T cell"
"AC025164.1",4.21359859717285e-05,-2.00180060463928,0.029,0.094,0.944520261542267,"27: GZMK+ CD8 T cell"
"HBB",0.184885844306934,-5.78321121064282,0.022,0.052,1,"27: GZMK+ CD8 T cell"
"SCN8A",0.000116359896763683,5.22318948939136,0.022,0,1,"27: GZMK+ CD8 T cell"
